strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Raspao,Black Tuna Seeds,"Vigorous outdoor strain with greasy trichomes, complex aromas, and reduced flowering period.",6.0,28.08,40.0,1 Single Regular Seed (GBP 6.00) | 12 Regular Seeds (GBP 60.00) | 60 Regular Seeds (GBP 285.00) | 120 Regular Seeds (GBP 540.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Raspao_6487567371c6c_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Citrus, Incense, Lemon",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-10 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Break Pad Breath,Ripper Seeds,"Potent poly hybrid with gas-cookie flavor, tight flowers in various colors. 40% Sativa 60% Indica, 60-65 days flowering, mid-high yield, strong effect.",18.2,28.08,40.0,3 Feminised Seeds (GBP 18.20) | 5 Feminised Seeds (GBP 30.20) | 25 Feminised Seeds (GBP 143.45) | 50 Feminised Seeds (GBP 271.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Break_Pad_Breath_648c73fed4441_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,Sweet,Powerful,Mediterranean,Dry,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
King Louis Garcia,Growers Choice,Potent strain with heavy effects. OG Kush and LA Confidential crossed with Cherry Garcia for a high-yielding hybrid.,16.0,28.08,40.0,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 190.00) | 140 Feminised Seeds (GBP 360.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/King_Louis_Garci_648c819eaa4e4_120x140.jpg,"King Louis Garcia, also known as King Gar See Ya, is a premium hybrid combining the original King Louis strain and Cherry Garcia. A Canadian collaborator developed this strain by selecting a unique phenotype of King Louis and crossbreeding it with a male Cherry Garcia clone. The result is a blend with profound effects—King Louis delivering a potent, numbing sensation ideal for pain relief, while Cherry Garcia offers uplifting and energizing effects with a sweet, fruity flavor. This strain exhibits a complex mix of spicy, earthy, and fruity terpenes. Although predominantly indica, it grows like a 50/50 hybrid, suitable for topping and Low-Stress Training (LST), with an above-average yield when properly nurtured.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Body Stone,"Cherry, Citrus, Earthy, Fruity, Lemon, Lime, Piney, Sweet",Relaxing,Mediterranean,Citrus,30%+,Low,750+ grams/ m2,500 - 550 gr/plant,80 - 120 cm,150 - 200 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Jewel Piece,Cali Connection Seeds,"Well-structured plant with dense colas and strong lateral branching. Easy to grow and clone, with a unique flavor profile.",70.0,28.08,40.0,6 Feminised Seeds (GBP 70.00) | 30 Feminised Seeds (GBP 332.50) | 60 Feminised Seeds (GBP 630.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Jewel_Piece_64ac3d938e47a_120x140.jpg,"Jewel Piece by The Cali Connection is a robust plant known for its large central cola and impressive branching, making it easy to grow and clone. It's said to be recommended to top and train the plant for optimal growth. This strain emits a pungent mix of kerosene, citrus/berry, and sweet hashy scents, thanks to its Strawberry OG lineage. The flavor is long-lasting and exotic, and its extracts are notably fragrant. Jewel Piece flowers in about 67-72 days.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Berry, Citrus, Hashy",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9.5-10 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Strawberry Jacuzzi,Rare Dankness Seeds,"Super fruity strain with ripe strawberry aroma, gigantic colas, and high trichome production. Ideal for concentrates, needs lots of light, space, and airflow.",68.0,28.08,40.0,6 Feminised Seeds (GBP 68.00) | 30 Feminised Seeds (GBP 323.00) | 60 Feminised Seeds (GBP 612.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Strawberry_Jacuz_64b5a5a8a080f_120x140.jpg,"Strawberry Jacuzzi Feminized Cannabis Seeds by Rare Dankness delivers an intense strawberry aroma and robust terpene profile, thanks to its lineage combining Tangerine Kush, Longs Peak Blue, and an Afghan landrace. It boasts large, dense colas with exceptional trichome production, making it an ideal choice for concentrate production, particularly traditional hash.
This strain thrives in dry, warm climates with ample light and air circulation. Designed with experienced growers in mind, Strawberry Jacuzzi requires careful environmental management to reach its full potential.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Fruity, Hashy, Strawberry",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8.5-9.5 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Purple Pakistani Haze,Ace Seed bank,"Limited edition F1 hybrid with strong Haze expression and intense purple colors. Resistant to pests and cold, finishing one month earlier than original.",52.8,28.08,40.0,5 Feminised Seeds (GBP 52.80) | 25 Feminised Seeds (GBP 250.80) | 50 Feminised Seeds (GBP 475.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Purple_Pakistani_64c945be104b7_120x140.jpg,"A robust F1 hybrid combining Purple Haze #23 and purple Pakistan Chitral Kush 2002, this strain is primarily a Purple Haze experience in a feminized format, finishing a month earlier than the original. It boasts intense purple and reddish colors, forest fruit terpenes, and high resistance to pests and cold. Approximately 80% of the plants exhibit these desirable traits when grown outdoors in colder climates. As a feminized limited edition, availability is based on stock.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Cerebral, Euphoric","Berry, Fruity, Hashy, Incense, Spicy, Woodsy",Relaxing,Mediterranean,Citrus,12%,Inferior a 0.05%,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),"Medium (56 to 90 days), Long (91 days plus)","Beginning of November, Middle of November, The End of November",8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Banana Punch Auto,PowerStrains,"Potent, delicious strain with short flowering time. Descended from well-known strains, offers powerful high and tropical fruity flavor.",27.0,28.08,40.0,5 Feminised Seeds (GBP 27.00) | 10 Feminised Seeds (GBP 39.00) | 50 Feminised Seeds (GBP 185.25) | 100 Feminised Seeds (GBP 351.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Banana_Punch_Aut_64d2696883710_120x140.jpg,"Banana Punch Auto from PowerStrains® is an impressive autoflowering cannabis strain that boasts a delightful blend of flavors and a potent high. This strain merges the qualities of Banana OG and Purple Punch, delivering a tropical fruity taste and a strong effect, all while being easy to grow thanks to its autoflowering nature.
Key Highlights:
Delicious hybrid cannabis strain derived from Banana OG and Purple Punch.
Short flowering time of 8-9 weeks with a high THC content of over 25%.
Autoflowering variant, ensuring a hassle-free cultivation.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Autoflower strain,"Indoor, Outdoor",Normal,Relaxing,"Banana, Fruity, Pineapple",Relaxing,Mediterranean,"Tropical Fruit, Pineapple, Banana",High (18%),Low,Average (450-500 g/m2),Average (400-450 g/m2),50-100 cm,140 - 180 cm,"Short (up to 80cm), Medium (81cm - 140cm)",Medium (56 to 90 days),Middle of October,9-10 weeks (seed to harvest),October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Valencia Seeds - Auto Butter Candy,Seed City Bulk Cannabis Seeds,"Rapid growth, high yield potential, sweet aroma, relaxing effects. Suitable for indoor/outdoor cultivation, medium to high THC content.",2.99,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/components/com_virtuemart/shop_image/product/scbulksmall.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Snack Pack,DNA Genetics Seeds,"Balanced hybrid with colorful, trichome-laden nugs. OG #18 and Do-Si-Dos combine for potent Cookies & Gas flavors.",65.0,28.08,40.0,5 Feminised Seeds (GBP 65.00) | 10 Feminised Seeds (GBP 85.00) | 50 Feminised Seeds (GBP 403.75) | 100 Feminised Seeds (GBP 765.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Snack_Pack_6557859742243_120x140.jpg,"Snack Pack by DNA Genetics is a balanced hybrid, crossing OG #18 with Do-Si-Dos. This cross results in dense, colorful, trichome-rich nugs. It brings together the cerebral effects and body effects harmoniously. Expect colorful buds with amber pistils and deep purple hues.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Cerebral","Earthy, Floral, Gassy, Nutty, Sour, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Mac 11,Pheno Finder Seeds,"Visually stunning strain with dense, resinous buds and a unique aroma and taste profile. Thrives indoors and outdoors with a 9-week flowering time.",40.0,28.08,40.0,5 Feminised Seeds (GBP 40.00) | 25 Feminised Seeds (GBP 190.00) | 50 Feminised Seeds (GBP 360.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Mac_11_65608aac3f1ce_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,"Berry, Citrus, Earthy, Fruity, Spicy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Apple Fritter,Advanced Seeds,"Indica dominant with high THC levels. Compact growth, large yield. Caramel aroma with diesel and earthy notes. Flowering cycle of 55-60 days.",21.0,28.08,40.0,3 Feminised Seeds (GBP 21.00) | 5 Feminised Seeds (GBP 35.20) | 25 Feminised Seeds (GBP 167.20) | 50 Feminised Seeds (GBP 316.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Apple_Fritter_65789a7133e17_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Caramel, Earthy, Fuel, Spicy",Relaxing,Mediterranean,Citrus,25%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,"Short (up to 80cm), Medium (81cm - 140cm)",Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Banana Split Auto,BSB Genetics,"High yielding strain with sweet tropical flavors. Clear-headed effects turn physical and relaxing. Harvest in 7-8 weeks, 75% Indica / 25% Sativa, THC 17-20%.",31.4,28.08,40.0,5 Feminised Seeds (GBP 31.40) | 10 Feminised Seeds (GBP 54.80) | 50 Feminised Seeds (GBP 260.30) | 100 Feminised Seeds (GBP 493.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Banana_Split_Aut_6578a28b13efd_120x140.jpg,"Banana Split, an autoflowering version of Banana Kush, excels in delivering the same captivating sweet and tropical banana scent and flavor profiles. It stands out as the most successful in-house strain during 2021 to 2023, thanks to its impressive yield rates.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Cerebral, Relaxing, Stress Relief","Banana, Fruity, Sweet",Relaxing,Mediterranean,Citrus,17-20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Mint Glacé XXL Auto,Dr Krippling Seeds,"Chill-inducing strain with focus-enhancing effect, minty vanilla flavor, and serene experience. Perfect for relaxation.",33.3,28.08,40.0,5 Feminised Seeds (GBP 33.30) | 10 Feminised Seeds (GBP 62.50) | 50 Feminised Seeds (GBP 296.88) | 100 Feminised Seeds (GBP 562.50),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Mint_Glac___XXL__65942e60c860d_120x140.jpg,"Mint Glacé XXL Auto, a reimagined version of Gelato Mintz, is an indica/sativa hybrid aimed at providing relaxation with a unique flavor profile. It offers an experience marked by heightened focus and a feeling of arousal, thanks to its minty, vanilla, and slightly chemical taste. Perfect for those seeking relief or a chill vibe, it stands out as a serene choice for enthusiasts. Now available as Feminised Seeds.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,50% Indica/50% Sativa,Indica / Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Focused, Relaxing","Chemical, Minty, Vanilla",Relaxing,Mediterranean,Citrus,15 - 21%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,75 - 90 days,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Black Toffee Auto,Green House Seeds,"Potent strain with coffee and red fruit notes, relaxing high. Resistant to techniques, conic flowers.",35.8,28.08,40.0,3 Feminised Seeds (GBP 35.80) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 80.40) | 50 Feminised Seeds (GBP 381.90) | 100 Feminised Seeds (GBP 723.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Black_Toffee_Aut_65945239dd47e_120x140.jpg,"The Black Toffee Auto is a blend of Larry Bubba (Bubba Kush x Larry OG) and Gelato 41 Auto, known for its strong coffee aroma with red fruit sweetness. It's good for daytime use, offering a relaxing yet not overpowering effect. The taste is a mix of coffee and sweet red fruit with a light OG aftertaste. The plant grows tall with a dominant main flower, adapts well to topping and LST, and features glittery resin-covered flowers that may display yellow to purple colors at maturity.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor, Greenhouse",Super Strength,"Body Stone, Relaxing","Berry, Bitter, Coffee, Sweet",Relaxing,Mediterranean,Citrus,"21,50% CBD : 0,45% CBN : 0,40%",Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Peanut Butter Breath,Propaganja Seeds,Vigorous plants with generous harvests in 8 weeks. Flowers have a peanut butter flavor and dense smell. 70% sativa hybrid with high THC levels.,19.9,28.08,40.0,7 Feminised Seeds (GBP 19.90) | 35 Feminised Seeds (GBP 94.53) | 70 Feminised Seeds (GBP 179.10),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Peanut_Butter_Br_659c3464a4f02_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Nutty, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),"The End of September, Beginning of October",8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Valencia Seeds - Grape Ape,Seed City Bulk Cannabis Seeds,"Indica-dominant strain with deep grape flavor, potent body high, visually striking buds. Resistant to pests, ideal for evening use and medicinal purposes.",2.99,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/components/com_virtuemart/shop_image/product/scbulksmall.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Icee Melt,Crockett Family Farms,"New hybrid with Gelato x Dulce genetics, creamy, exotic, gassy strain with candied grape notes.",85.0,28.08,40.0,12 Regular Seeds (GBP 85.00) | 60 Regular Seeds (GBP 403.75) | 120 Regular Seeds (GBP 765.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Icee_Melt_65c67487d3ec1_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Dairy, Gassy, Grape, Skunky, Spicy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Tenzin Chem 78,Green Bodhi Seeds,"Relaxing strain with therapeutic effects, gas, sour, citrus, rosemary, spice aromas, OG structure, trichome-coated buds.",115.0,28.08,40.0,11 Regular Seeds (GBP 115.00) | 55 Regular Seeds (GBP 546.25) | 110 Regular Seeds (GBP 035.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Tenzin_Chem_78_65ca5c0078b2f_120x140.jpg,"Tenzin Chem 78, developed by Green Bodhi, stems from a specialized breeding project that combined Tenzin Kush #4 with OGLA78 male pollen, aiming to cultivate a strain with distinct aromas and potent effects. This strain emits a complex bouquet of gas, sour, citrus, with undertones of rosemary and spice, and a taste profile that includes floral rose and sweet, skunky flavors.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Cerebral, Relaxing","Citrus, Floral, Gassy, Herbal, Skunky, Sour, Spicy, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8.5-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blueberry Bubblegum Automatic,Sensi Research Seeds,"80% indica / 20% sativa, full-body buzz, fruity flavor, compact size, large yields, sweet aroma. Grows well indoors or outdoors in temperate regions.",16.4,28.08,40.0,3 Feminised Seeds (GBP 16.40) | 5 Feminised Seeds (GBP 25.60) | 10 Feminised Seeds (GBP 48.80) | 50 Feminised Seeds (GBP 231.80) | 100 Feminised Seeds (GBP 439.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Blueberry_Bubble_65e5ff3f00949_120x140.jpg,"Blueberry Bubblegum Automatic, an 80% indica and 20% sativa strain, results from crossbreeding Gelato #420 with Sunset Sherbet, showcasing vibrant green and purple hues. It's a compact, indica-dominant plant with a short flowering period, suitable for indoor and outdoor cultivation in temperate/continental climates. This strain offers a soothing full-body buzz, with an easy growing experience leading to large yields.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Relaxing, Uplifting","Berry, Citrus, Fruity, Herbal, Peppery",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Black Muffin F1 Fast Version,Sweet Seeds,"Ultra-fast flowering strain with red flowers, vigorous growth, resinous buds. Balanced, relaxing high with stimulating effects, sweet-and-sour aroma.",19.4,28.08,40.0,3 Feminised Seeds (GBP 19.40) | 5 Feminised Seeds (GBP 32.40) | 25 Feminised Seeds (GBP 82.60) | 125 Feminised Seeds (GBP 392.35) | 250 Feminised Seeds (GBP 743.40),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Black_Muffin_F1__65e6032963042_120x140.jpg,"This ultra-fast flowering, photoperiod-dependent, feminized strain, known as Black Muffin F1 Fast Version® (SWS111), is a vibrant hybrid resulting from a cross between a Red Hot Cookies® (SWS83) elite clone and the select autoflowering strain Black Lemon Auto. It is distinguished by its red flowers, rapid flowering capability, and the production of dark purple, resin-soaked buds. These buds are renowned for their potent, sweet-and-sour aroma blend, featuring citrusy notes of lemon and mandarin, accompanied by a tart undertone of red berries.
Black Muffin F1 Fast Version® offers an intense, balanced effect, fostering relaxation and happiness that encourages conversation and sparks the imagination.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Creative, Happy, Relaxing, Social","Berry, Citrus, Fruity, Lemon, Orange, Sour, Sweet",Relaxing,Mediterranean,Citrus,17-25%,"0,1%",450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Oaxaca A5 Haze,Ace Seed bank,"Sativa-dominant hybrid with Mexican personality, sociable effects, complex terpene profile. Resistant to pests and molds, manageable size.",32.5,28.08,40.0,3 Feminised Seeds (GBP 32.50) | 5 Feminised Seeds (GBP 52.80) | 25 Feminised Seeds (GBP 250.80) | 50 Feminised Seeds (GBP 475.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Oaxaca_A5_Haze_65e76ca95d94f_120x140.jpg,"A Mexican/Colombian hybrid, Oaxaca A5 Haze, captures the essence of vintage Mexican sativas, enhanced by Neville’s A5 Haze, resulting in a sativa-dominant strain. Its terpene profile offers a blend of lemony, incense, musk, and floral scents, for a refreshing and exotic aroma. The strain boasts rapid flowering, resistance to fungi, and high yields thanks to its Oaxaca 79 lineage. This strain promises a cheerful, sociable, and psychedelic experience without losing its motivating Mexican character.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,POLY HYBRID,Indica Dominant,"Indoor, Outdoor",Normal,"Happy, Psychedelic, Social","Citrus, Floral, Lemon, Musky",Relaxing,Mediterranean,Citrus,14-18 %,0.03 %,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
